"month","day","year","sno","state","total_schools","reported_schools","meal_not_served","food_grains","fund","cook_cum_helper","ngo_shg","holidays","others"
"1","16","2026","1","A & N ISLANDS","325","325","1","0",0,"0",0,"1","0"
"1","16","2026","2","ASSAM","43785","39349","4","0",0,"0",0,"0","4"
"1","16","2026","3","BIHAR","65961","54345","502","4",4,"3",7,"422","62"
"1","16","2026","4","DELHI","2793","2498","3","0",0,"0",0,"0","3"
"1","16","2026","5","GOA","1216","1216","146","3",0,"0",0,"140","3"
"1","16","2026","6","GUJARAT","32251","31770","116","3",1,"27",0,"40","45"
"1","16","2026","7","HIMACHAL PRADESH","14416","9068","33","0",0,"0",0,"29","4"
"1","16","2026","8","MADHYA PRADESH","88192","86464","1019","20",0,"2",1,"580","416"
"1","16","2026","9","MAHARASHTRA","83605","77190","749","0",6,"237",0,"291","215"
"1","16","2026","10","MIZORAM","2481","1933","1","0",0,"0",0,"0","1"
"1","16","2026","11","ODISHA","50354","43344","250","0",0,"0",0,"182","68"
"1","16","2026","12","PUNJAB","19574","411","2","0",0,"0",0,"1","1"
"1","16","2026","13","RAJASTHAN","67628","49345","1436","69",1,"29",10,"971","356"
"1","16","2026","14","TRIPURA","4327","4297","58","0",0,"0",0,"42","16"
"1","16","2026","15","UTTAR PRADESH","141688","106521","802","35",12,"19",20,"64","652"
"1","16","2026","16","UTTARAKHAND","16273","12883","2100","0",0,"0",0,"1883","217"
"1","16","2026","17","WEST BENGAL","81824","75972","2622","1",0,"26",1,"721","1873"
